Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh,Predicted_Is_Visible,Predicted_BehindAMesh,Predicted_Out_Of_Frame
10,-1.285,-4.764297e-09,1.178,-4724,3.560273,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
11,-1.785,-9.537071e-09,1.678,-4724,3.48124,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
12,-2.285,4.764297e-09,1.178,-4724,2.789608,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
13,-1.785,3.274181e-13,0.678,-4724,2.887633,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
14,-1.785,-0.3525147,0.8254853,-4724,3.057889,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
15,-2.137515,-0.3525147,1.178,-4724,2.993047,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
16,-1.785,-0.3525147,1.530515,-4724,3.466428,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
17,-1.432485,-0.3525147,1.178,-4724,3.522568,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
18,-1.431309,0.3527881,1.178,-4724,3.391552,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
19,-1.785,0.3527881,1.531691,-4724,3.33301,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
20,-2.138691,0.3527881,1.178,-4724,2.835658,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
21,-1.785,0.3527881,0.8243086,-4724,2.904242,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
22,-1.431448,-3.128662e-11,1.531552,-4724,3.646302,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
23,-1.431309,-0.0008836466,0.8243086,-4724,3.259408,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
24,-2.138552,3.128662e-11,1.531552,-4724,3.136115,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
25,-2.138691,-0.0008836116,0.8243086,-4724,2.676204,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
26,-1.544807,-0.3089014,0.8690986,-4724,3.261066,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
27,-1.614858,-0.3313476,0.8466523,-4724,3.199364,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
28,-1.69694,-0.3469702,0.8310298,-4724,3.129761,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
29,-2.025193,-0.3089014,0.8690986,-4724,2.878146,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
30,-1.955142,-0.3313476,0.8466523,-4724,2.927577,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
31,-1.87306,-0.3469702,0.8310298,-4724,2.988902,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
32,-2.093901,-0.3089014,0.9378071,-4724,2.864829,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
33,-2.116348,-0.3313476,1.007858,-4724,2.896771,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
34,-2.13197,-0.3469702,1.08994,-4724,2.9403,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
35,-2.093901,-0.3089014,1.418193,-4724,3.165975,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
36,-2.116348,-0.3313476,1.348142,-4724,3.110909,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
37,-2.13197,-0.3469702,1.26606,-4724,3.051427,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
38,-2.025193,-0.3089014,1.486901,-4724,3.25874,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
39,-1.955142,-0.3313476,1.509348,-4724,3.328077,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
40,-1.87306,-0.3469702,1.52497,-4724,3.399566,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,0,0,0
41,-1.544807,-0.3089014,1.486901,-4724,3.601419,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
42,-1.614858,-0.3313476,1.509348,-4724,3.569498,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
43,-1.69694,-0.3469702,1.52497,-4724,3.524049,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
44,-1.476099,-0.3089014,1.418193,-4724,3.612021,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
45,-1.453652,-0.3313476,1.348142,-4724,3.594543,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
46,-1.43803,-0.3469702,1.26606,-4724,3.564701,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
47,-1.476099,-0.3089014,0.9378071,-4724,3.351201,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
48,-1.453652,-0.3313476,1.007858,-4724,3.410904,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
49,-1.43803,-0.3469702,1.08994,-4724,3.470051,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
50,-1.475049,0.3090894,0.9370942,-4724,3.230238,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
51,-1.452527,0.3315698,1.007287,-4724,3.28343,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
52,-1.436872,0.3472266,1.089646,-4724,3.338947,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
53,-1.475049,0.3090894,1.418906,-4724,3.500854,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
54,-1.452527,0.3315698,1.348713,-4724,3.474436,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
55,-1.436872,0.3472266,1.266354,-4724,3.437533,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
56,-1.544094,0.3090894,1.487951,-4724,3.48986,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
57,-1.614287,0.3315698,1.510473,-4724,3.448429,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
58,-1.696645,0.3472266,1.526127,-4724,3.395217,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
59,-2.025906,0.3090894,1.487951,-4724,3.133898,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
60,-1.955713,0.3315698,1.510473,-4724,3.197007,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
61,-1.873354,0.3472266,1.526127,-4724,3.265387,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
62,-2.094951,0.3090894,1.418906,-4724,3.036841,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
63,-2.117473,0.3315698,1.348713,-4724,2.969462,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
64,-2.133127,0.3472266,1.266354,-4724,2.8999,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
65,-2.094951,0.3090894,0.9370942,-4724,2.720453,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
66,-2.117473,0.3315698,1.007287,-4724,2.743522,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
67,-2.133127,0.3472266,1.089646,-4724,2.782329,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
68,-2.025906,0.3090894,0.8680488,-4724,2.734541,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
69,-1.955713,0.3315698,0.8455268,-4724,2.77614,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
70,-1.873354,0.3472266,0.8298725,-4724,2.833812,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
71,-1.544094,0.3090894,0.8680488,-4724,3.136163,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
72,-1.614287,0.3315698,0.8455268,-4724,3.062314,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
73,-1.696645,0.3472266,0.8298725,-4724,2.982489,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
74,-1.476099,-0.2401929,1.486901,-4724,3.635594,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
75,-1.453652,-0.1701416,1.509348,-4724,3.649877,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
76,-1.43803,-0.0880603,1.52497,-4724,3.653889,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
77,-1.475049,0.2401733,1.487951,-4724,3.550544,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,1,0,0
78,-1.452527,0.1698926,1.510473,-4724,3.590652,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
79,-1.436872,0.08750671,1.526127,-4724,3.624263,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,0,0,1,0,1,0
80,-1.475049,0.2401733,0.8680488,-4724,3.203554,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
81,-1.452527,0.1698926,0.8455268,-4724,3.221628,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
82,-1.436872,0.08750671,0.8298725,-4724,3.240836,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
83,-1.476099,-0.2401929,0.8690986,-4724,3.298769,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
84,-1.453652,-0.1701416,0.8466523,-4724,3.288802,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
85,-1.43803,-0.0880603,0.8310298,-4724,3.27527,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
86,-2.093901,-0.2401929,1.486901,-4724,3.192843,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
87,-2.116348,-0.1701416,1.509348,-4724,3.174684,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
88,-2.13197,-0.0880603,1.52497,-4724,3.155158,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
89,-2.094951,0.2401733,1.487951,-4724,3.093993,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
90,-2.117473,0.1698926,1.510473,-4724,3.104639,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
91,-2.133127,0.08750671,1.526127,-4724,3.118985,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
92,-2.093901,-0.2401929,0.8690986,-4724,2.803316,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
93,-2.116348,-0.1701416,0.8466523,-4724,2.751951,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
94,-2.13197,-0.0880603,0.8310298,-4724,2.707676,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
95,-2.094951,0.2401733,0.8680488,-4724,2.688715,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
96,-2.117473,0.1698926,0.8455268,-4724,2.669248,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
97,-2.133127,0.08750671,0.8298725,-4724,2.663795,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
98,-1.785,-0.4123633,0.8978413,-4724,3.114752,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
99,-1.785,-0.4585547,0.9823945,-4724,3.175077,-4.144135,0.4289798,-0.259463,-4.094921,0.7711247,-0.2367754,-3.781317,0.7711247,-0.9170376,-3.830531,0.4289797,-0.9397254,-4.231815,0.6469836,-0.7123012,1,0,0,1,0,0
